0	1	eps	0
1	2	eps	0
2	3	eps	0
3	10	0	0 
3	10	1	1
3	10	2	2
3	10	3	3
3	10	4	4
3	10	5	5
3	10	6	6
3	10	7	7
3	10	8	8
3	10	9	9
0	4	eps	0
4	5	eps	0
5	6	0	0
5	6	1	1
5	6	2	2
5	6	3	3
5	6	4	4
5	6	5	5
5	6	6	6
5	6	7	7
5	6	8	8
5	6	9	9
6	10	0	0
6	10	1	1
6	10	2	2
6	10	3	3
6	10	4	4
6	10	5	5
6	10	6	6
6	10	7	7
6	10	8	8
6	10	9	9
0	7	eps	0
7	8	0	0
7	8	1	1
7	8	2	2
7	8	3	3
7	8	4	4
7	8	5	5
7	8	6	6
7	8	7	7
7	8	8	8
7	8	9	9
8	9	0	0
8	9	1	1
8	9	2	2
8	9	3	3
8	9	4	4
8	9	5	5
8	9	6	6
8	9	7	7
8	9	8	8
8	9	9	9
9	10	0	0
9	10	1	1
9	10	2	2
9	10	3	3
9	10	4	4
9	10	5	5
9	10	6	6
9	10	7	7
9	10	8	8
9	10	9	9
0   	11  	0   	0
0   	11  	1   	1
0   	11  	2   	2
0   	11  	3   	3
0   	11  	4   	4
0   	11  	5   	5
0   	11  	6   	6
0   	11  	7   	7
0   	11  	8   	8
0   	11  	9   	9
11   	12  	0   	0
11   	12  	1   	1
11   	12  	2   	2
11   	12  	3   	3
11   	12  	4   	4
11  	12  	5   	5
11  	12  	6   	6
11  	12  	7   	7
11  	12  	8   	8
11  	12  	9   	9
12   	13  	0   	0
12   	13  	1   	1
12   	13  	2   	2
12   	13  	3   	3
12   	13  	4   	4
12  	13  	5   	5
12  	13  	6   	6
12  	13  	7   	7
12  	13  	8   	8
12  	13  	9   	9
13   	14  	0   	0
13   	14  	1   	1
13   	14  	2   	2
13   	14  	3   	3
13   	14  	4   	4
13  	14  	5   	5
13  	14  	6   	6
13  	14  	7   	7
13  	14  	8   	8
13  	14  	9   	9
14   	14  	0   	0
14   	14  	1   	1
14   	14  	2   	2
14   	14  	3   	3
14   	14  	4   	4
14  	14  	5   	5
14  	14  	6   	6
14  	14  	7   	7
14  	14  	8   	8
14  	14  	9   	9
10
14
